PLATZ_ID,HALLE,REGAL,FACH,EBENE,ANZ_PICKS,CUMULATIVE_%,ABC_CALC,ABC_KLASSE,ARTIKELNR,ARTBEZ1
032003400,2011.0,20,34,0,2909.0,0.6190138762099924,A,B,02207500ET0001,VW Dichtung Ölwanne
032003600,2012.0,20,36,0,2902.0,1.2365382037319579,A,B,00037800ET0001,Dichtung Steuergehäuse
032006100,2020.0,20,61,0,2876.0,1.8485299218412525,A,B,07596400ET0001,Zyl.-kopfschraubensatz
032003300,2011.0,20,33,0,2862.0,2.4575425425744934,A,B,03772900ET0001,ZKD Metall-Lagen
032003700,2012.0,20,37,0,2825.0,3.0586818345281643,A,B,04646300ET0001,Dichtung Ventildeckel
032004600,2015.0,20,46,0,2814.0,3.657480407114936,A,B,04558700ET0001,Zyl.-kopfschraubensatz
032003500,2011.0,20,35,0,2798.0,4.252874296986217,A,B,08502500ET0001,Zyl.-kopfschraubensatz
032005600,2018.0,20,56,0,2769.0,4.842097199435673,A,B,00972600ET0001,Entrussersatz
034605300,4618.0,46,53,0,2766.0,5.430681723875976,A,A,04711810ET0012,Dichtmassen/Curil T2 ProfiPress
034604900,4616.0,46,49,0,2757.0,6.017351114288815,A,A,0B509500ET0001,LiqRep Reparaturset
032004900,2016.0,20,49,0,2756.0,6.603807712031936,A,B,01666700ET0001,Entrussersatz
034605200,4617.0,46,52,0,2746.0,7.188136383077875,A,A,C500287,Elring Sportsocken Größe M (39-41)
032005800,2019.0,20,58,0,2738.0,7.770762712766071,A,B,03402900ED0001,IWDR PPS/ACM/PTFE Kurbelwelle Ø35mm
032006800,2022.0,20,68,0,2686.0,8.342323823628924,A,B,06528900ET0001,Zyl.-kopfschraubensatz
034605500,4618.0,46,55,0,2673.0,8.911118629785442,A,A,04584320ET0001,Dirko HT acetic rot 20 ml
032004800,2016.0,20,48,0,2670.0,9.479275057932805,A,B,07603000ET0001,Zyl.-kopfschraubensatz
034605400,4618.0,46,54,0,2638.0,10.040622120649187,A,A,09115810ET0012,Dichtmasse Curil T2
032003900,2013.0,20,39,0,2637.0,10.601756390695853,A,B,0B375900ET0001,Ventildeckel
032006200,2020.0,20,62,0,2621.0,11.159485978027028,A,B,06502300ET0001,ZKD Metall-Lagen
032003200,2010.0,20,32,0,2617.0,11.716364394679331,A,B,03996500ET0001,Vollsatz
034604700,4616.0,46,47,0,2547.0,12.258347324451368,A,A,0B509500ET0001,LiqRep Reparaturset
032003000,2010.0,20,30,0,2527.0,12.796074400829042,A,B,05174120ET0001,"ZKD Metall-Lagen 1,25mm"
032005700,2019.0,20,57,0,2507.0,13.32954562381235,A,B,00333760ET0001,115x140x16/12 BS F LA LD FPM
032007300,2024.0,20,73,0,2497.0,13.86088892009848,A,B,04646300ET0001,Dichtung Ventildeckel
034604500,4615.0,46,45,0,2489.0,14.390529875026864,A,A,,
032006700,2022.0,20,67,0,2463.0,14.914638220542578,A,B,07745620ET0001,Dichtung Ansaugkrümmer
032006900,2023.0,20,69,0,2453.0,15.436618639361111,A,B,00087500ET0001,Vollsatz
034605000,4617.0,46,50,0,2442.0,15.956258338812745,A,A,C500288,Elring Sportsocken Größe L (43-46)
032002900,2009.0,20,29,0,2417.0,16.470578221521425,A,B,06428600ET0001,Entrussersatz
032006600,2022.0,20,66,0,2415.0,16.98447251889067,A,B,00839300ET0001,Dichtung Steuergehäuse
032006000,2020.0,20,60,0,2408.0,17.496877267571886,A,B,03614730ET0001,ZKD Metall-Lagen
032004300,2014.0,20,43,0,2400.0,18.00757967489536,A,B,03303700ET0001,Zylinderkopfhaubensatz
032005300,2017.0,20,53,0,2382.0,18.514451814163905,A,B,05836200ET0001,IVECO Ölwannensatz
034604800,4616.0,46,48,0,2363.0,19.01728089270781,A,A,04584220ET0001,Dirko HT oximic schwarz 20 ml
032005100,2017.0,20,51,0,2355.0,19.518407629893968,A,B,06942660ET0001,VOLVO Ansaug-/Abgasdichtung
034605100,4617.0,46,51,0,2342.0,20.01676806237379,A,A,09540300ET0006,"EL-Add 48, grün 50ml"
032005500,2018.0,20,55,0,2335.0,20.51363894616558,A,B,09805700ET0001,ZKD Metall-Lagen Grade 4
032005900,2019.0,20,59,0,2307.0,21.00455163520527,A,B,01121300ET0001,Zyl.-kopfschraubensatz
032004700,2015.0,20,47,0,2302.0,21.494400360896368,A,B,08356500ET0001,Ventildeckel VW EA390 3.6 V6 FSI
032004500,2015.0,20,45,0,2293.0,21.98233395256,A,B,01815200ET0001,Entrussersatz
032005000,2016.0,20,50,0,2274.0,22.46622448349899,A,B,09120400ET0001,Vollsatz
032003800,2012.0,20,38,0,2273.0,22.949902221768266,A,B,0B096100ET0001,Ventildeckel
032004400,2014.0,20,44,0,2261.0,23.431026448000917,A,B,07443420ET0001,VW Dichtung Nockenwellenverstellung
032003100,2010.0,20,31,0,2261.0,23.912150674233573,A,B,01143000ET0001,Zyl.-kopfschraubensatz
034604600,4615.0,46,46,0,2252.0,24.391359766438768,A,A,09540300ET0006,"EL-Add 48, grün 50ml"
032004200,2014.0,20,42,0,2238.0,24.8675897612679,A,B,07688200ET0001,MB Dichtung Ventildeckel
032004000,2013.0,20,40,0,2200.0,25.335733634647756,A,B,05174120ET0001,"ZKD Metall-Lagen 1,25mm"
032005200,2017.0,20,52,0,2200.0,25.803877508027607,A,B,03334600ET0001,ZKD Metall-Lagen
032006500,2021.0,20,65,0,2141.0,26.259466613894084,A,B,04773120ET0001,ZKD Metall-Lagen
032005400,2018.0,20,54,0,2139.0,26.71463013442113,A,B,00839300ET0001,Dichtung Steuergehäuse
032007100,2023.0,20,71,0,2063.0,27.1536214120496,A,B,08644700ET0001,Entrussersatz
034604300,4614.0,46,43,0,2052.0,27.590271970311164,A,A,02903900ET0001,Zyl.-kopfschraubensatz
032007200,2024.0,20,72,0,2007.0,28.01734685843542,A,B,00952100ET0001,SCANIA - Ölkühlersatz
032006300,2021.0,20,63,0,1981.0,28.438889137147005,A,B,06553600ET0001,Entrussersatz
034604200,4614.0,46,42,0,1973.0,28.858729074500843,A,A,,
032004100,2013.0,20,41,0,1915.0,29.266227037011028,A,B,01664560ET0001,DEUTZ Dichtung Steuergehäuse
034604400,4615.0,46,44,0,1879.0,29.666064463411363,A,A,04584220ET0001,Dirko HT oximic schwarz 20 ml
034705100,4717.0,47,51,0,1861.0,30.062071621756775,A,A,09115810ET0012,Dichtmasse Curil T2
032007000,2023.0,20,70,0,1857.0,30.45722760942331,A,B,04455610ET0001,Dichtung Ventildeckel
032006400,2021.0,20,64,0,1845.0,30.84983008505323,A,B,03186100ET0001,BMW Zylinderkopfhaubensatz
034704700,4716.0,47,47,0,1785.0,31.229665000500063,A,A,0B509500ET0001,LiqRep Reparaturset
034606400,4621.0,46,64,0,1741.0,31.600137038479296,A,B,04584220ET0001,Dirko HT oximic schwarz 20 ml
034704900,4716.0,47,49,0,1702.0,31.96231016233953,A,A,0B541000ET0009,LiqRep Metal_2
