PLATZ_ID,REGAL,FACH,EBENE,UTILIZATION,HEATMAP_COLOR
031901200,19,12,0,100.0,RED
031105400,11,54,0,100.0,RED
031001701,10,17,1,0.0,GREEN
032207200,22,72,0,100.0,RED
031405400,14,54,0,100.0,RED
030301200,03,12,0,200.0,RED
032105600,21,56,0,100.0,RED
034101103,41,11,3,0.0,GREEN
032204304,22,43,4,100.0,RED
031302700,13,27,0,100.0,RED
030603401,06,34,1,0.0,GREEN
032105401,21,54,1,100.0,RED
032205700,22,57,0,100.0,RED
032603600,26,36,0,100.0,RED
032503400,25,34,0,100.0,RED
032106200,21,62,0,100.0,RED
034504904,45,49,4,0.0,GREEN
030606902,06,69,2,0.0,GREEN
032005000,20,50,0,100.0,RED
031103200,11,32,0,200.0,RED
032601900,26,19,0,100.0,RED
030301500,03,15,0,0.0,GREEN
031404101,14,41,1,100.0,RED
032203502,22,35,2,100.0,RED
032306700,23,67,0,100.0,RED
032107300,21,73,0,100.0,RED
031906205,19,62,5,0.0,GREEN
032405701,24,57,1,100.0,RED
031304300,13,43,0,100.0,RED
030602401,06,24,1,0.0,GREEN
031102704,11,27,4,0.0,GREEN
031101403,11,14,3,0.0,GREEN
031806000,18,60,0,100.0,RED
032605103,26,51,3,100.0,RED
032504200,25,42,0,100.0,RED
032505900,25,59,0,100.0,RED
032703900,27,39,0,100.0,RED
030100402,01,4,2,0.0,GREEN
030102301,01,23,1,0.0,GREEN
030700606,07,6,6,0.0,GREEN
030701906,07,19,6,0.0,GREEN
030203000,02,30,0,0.0,GREEN
030606000,06,60,0,100.0,RED
030402701,04,27,1,0.0,GREEN
031904100,19,41,0,100.0,RED
034101501,41,15,1,0.0,GREEN
031903105,19,31,5,100.0,RED
032106000,21,60,0,100.0,RED
031903305,19,33,5,0.0,GREEN
030102200,01,22,0,0.0,GREEN
030302600,03,26,0,200.0,RED
031606102,16,61,2,100.0,RED
030300900,03,9,0,200.0,RED
031904300,19,43,0,100.0,RED
034101002,41,10,2,0.0,GREEN
031903005,19,30,5,100.0,RED
030906001,09,60,1,0.0,GREEN
030905005,09,50,5,0.0,GREEN
030606803,06,68,3,0.0,GREEN
030302905,03,29,5,0.0,GREEN
030700102,07,1,2,0.0,GREEN
030200700,02,7,0,0.0,GREEN
032704000,27,40,0,100.0,RED
031904400,19,44,0,100.0,RED
031906204,19,62,4,100.0,RED
031904605,19,46,5,100.0,RED
032803500,28,35,0,100.0,RED
032003702,20,37,2,100.0,RED
032005500,20,55,0,100.0,RED
031706800,17,68,0,100.0,RED
031705500,17,55,0,100.0,RED
030201700,02,17,0,0.0,GREEN
032705500,27,55,0,100.0,RED
030101600,01,16,0,0.0,GREEN
031904600,19,46,0,100.0,RED
034100901,41,9,1,0.0,GREEN
031904705,19,47,5,100.0,RED
031902100,19,21,0,100.0,RED
032000701,20,7,1,100.0,RED
032004900,20,49,0,100.0,RED
030903300,09,33,0,0.0,GREEN
031904800,19,48,0,100.0,RED
034301602,43,17,2,0.0,GREEN
030905600,09,56,0,100.0,RED
031905300,19,53,0,100.0,RED
034101703,41,17,3,0.0,GREEN
031805200,18,52,0,100.0,RED
030103001,01,30,1,100.0,RED
031104101,11,41,1,0.0,GREEN
032701906,27,19,6,100.0,RED
032701500,27,15,0,100.0,RED
032506000,25,60,0,100.0,RED
032505804,25,58,4,100.0,RED
034707100,47,71,0,100.0,RED
030800900,08,9,0,0.0,GREEN
032203000,22,30,0,100.0,RED
031603900,16,39,0,100.0,RED
032506100,25,61,0,100.0,RED
031905500,19,55,0,100.0,RED
034100703,41,7,3,0.0,GREEN
032201001,22,10,1,0.0,GREEN
031802300,18,23,0,100.0,RED
032003400,20,34,0,100.0,RED
031705000,17,50,0,100.0,RED
030805801,08,58,1,0.0,GREEN
031806500,18,65,0,100.0,RED
031902000,19,20,0,100.0,RED
031104301,11,43,1,0.0,GREEN
030605805,06,58,5,0.0,GREEN
031905104,19,51,4,100.0,RED
031902300,19,23,0,100.0,RED
031905600,19,56,0,100.0,RED
031902206,19,22,6,0.0,GREEN
032606802,26,68,2,100.0,RED
031901003,19,10,3,100.0,RED
030303100,03,31,0,200.0,RED
032001105,20,11,5,100.0,RED
032001302,20,13,2,100.0,RED
032002203,20,22,3,100.0,RED
031904101,19,41,1,100.0,RED
034302000,43,20,0,0.0,GREEN
032004305,20,43,5,100.0,RED
032100506,21,5,6,0.0,GREEN
032100804,21,8,4,0.0,GREEN
032101106,21,11,6,0.0,GREEN
032102004,21,20,4,0.0,GREEN
032102006,21,20,6,100.0,RED
032102706,21,27,6,0.0,GREEN
032102905,21,29,5,100.0,RED
032103303,21,33,3,100.0,RED
032104206,21,42,6,0.0,GREEN
032104401,21,44,1,100.0,RED
030702701,07,27,1,0.0,GREEN
032104502,21,45,2,100.0,RED
032107002,21,70,2,100.0,RED
032107101,21,71,1,100.0,RED
031302401,13,24,1,100.0,RED
032201505,22,15,5,100.0,RED
031903100,19,31,0,100.0,RED
032203902,22,39,2,100.0,RED
032205302,22,53,2,100.0,RED
032004600,20,46,0,100.0,RED
032206603,22,66,3,0.0,GREEN
034705000,47,50,0,100.0,RED
034704800,47,48,0,100.0,RED
032301102,23,11,2,100.0,RED
032302101,23,21,1,0.0,GREEN
030403305,04,33,5,0.0,GREEN
030603106,06,31,6,0.0,GREEN
032302501,23,25,1,100.0,RED
032303304,23,33,4,100.0,RED
032303305,23,33,5,100.0,RED
030401200,04,12,0,200.0,RED
032304005,23,40,5,100.0,RED
032306605,23,66,5,0.0,GREEN
032606000,26,60,0,0.0,GREEN
032603602,26,36,2,100.0,RED
031804500,18,45,0,100.0,RED
032905406,29,54,6,0.0,GREEN
031706900,17,69,0,100.0,RED
032501402,25,14,2,100.0,RED
034800804,48,8,4,0.0,GREEN
030804100,08,41,0,0.0,GREEN
032503804,25,38,4,0.0,GREEN
032505402,25,54,2,100.0,RED
032507202,25,72,2,100.0,RED
031003900,10,39,0,0.0,GREEN
032606100,26,61,0,100.0,RED
032607002,26,70,2,100.0,RED
031303300,13,33,0,100.0,RED
032003300,20,33,0,100.0,RED
031906502,19,65,2,100.0,RED
031906901,19,69,1,100.0,RED
032004800,20,48,0,100.0,RED
032507301,25,73,1,100.0,RED
032605200,26,52,0,100.0,RED
032507802,25,78,2,100.0,RED
032507901,25,79,1,100.0,RED
032508104,25,81,4,100.0,RED
032508302,25,83,2,100.0,RED
030806000,08,60,0,200.0,RED
032703505,27,35,5,0.0,GREEN
032704502,27,45,2,100.0,RED
032704802,27,48,2,100.0,RED
031903505,19,35,5,100.0,RED
032707203,27,72,3,0.0,GREEN
030701205,07,12,5,0.0,GREEN
032708701,27,87,1,100.0,RED
032006500,20,65,0,100.0,RED
032803405,28,34,5,0.0,GREEN
032804503,28,45,3,100.0,RED
032804902,28,49,2,0.0,GREEN
032805602,28,56,2,100.0,RED
032805604,28,56,4,100.0,RED
032806802,28,68,2,100.0,RED
030902300,09,23,0,0.0,GREEN
032808103,28,81,3,100.0,RED
032900905,29,9,5,0.0,GREEN
032206400,22,64,0,100.0,RED
032901104,29,11,4,0.0,GREEN
032901505,29,15,5,0.0,GREEN
032007200,20,72,0,100.0,RED
032902905,29,29,5,0.0,GREEN
032904205,29,42,5,0.0,GREEN
032904406,29,44,6,0.0,GREEN
032905506,29,55,6,0.0,GREEN
032905603,29,56,3,100.0,RED
032905802,29,58,2,100.0,RED
032905902,29,59,2,100.0,RED
032908103,29,81,3,0.0,GREEN
032909101,29,91,1,100.0,RED
032604800,26,48,0,100.0,RED
032607302,26,73,2,100.0,RED
034807302,48,73,2,100.0,RED
032304100,23,41,0,100.0,RED
031305701,13,57,1,100.0,RED
031000203,10,2,3,0.0,GREEN
030902804,09,28,4,0.0,GREEN
030903501,09,35,1,0.0,GREEN
031903803,19,38,3,100.0,RED
032007006,20,70,6,0.0,GREEN
032104705,21,47,5,0.0,GREEN
032808201,28,82,1,100.0,RED
032304200,23,42,0,100.0,RED
031406000,14,60,0,100.0,RED
030903800,09,38,0,100.0,RED
032305300,23,53,0,100.0,RED
031906104,19,61,4,0.0,GREEN
