"PLATZ_ID","BEREICH","REGAL","FACH","EBENE","PLATZ_TYP","PLATZ_ART","KAPA","IST_LHM","FREI_LHM","ABC_KLASSE","ZUSTAND"
"031901200","03","19","012","00","P","K","1","1","0","C",""
"031105400","03","11","054","00","P","DK","1","1","0","A",""
"031001701","03","10","017","01","P","K","1","0","1","C",""
"032207200","03","22","072","00","P","K","1","1","0","B",""
"031405400","03","14","054","00","P","DK","1","1","0","C",""
"030301200","03","03","012","00","P","K","1","2","0","C","150.0"
"032105600","03","21","056","00","P","K","1","1","0","B",""
"034101103","03","41","011","03","P","R","1","0","1","B","150.0"
"032204304","03","22","043","04","P","R","1","1","0","B",""
"031302700","03","13","027","00","P","DK","1","1","0","C",""
"030603401","03","06","034","01","P","DK","1","0","1","B",""
"032105401","03","21","054","01","P","R","1","1","0","B",""
"032205700","03","22","057","00","P","K","1","1","0","B",""
"032603600","03","26","036","00","P","K","1","1","0","A",""
"032503400","03","25","034","00","P","K","1","1","0","A",""
"032106200","03","21","062","00","P","K","1","1","0","B",""
"034504904","03","45","049","04","P","R","1","0","1","A","150.0"
"030606902","03","06","069","02","P","R","1","0","1","B",""
"032005000","03","20","050","00","P","K","1","1","0","B","150.0"
"031103200","03","11","032","00","P","DK","1","2","0","B",""
"032601900","03","26","019","00","P","K","1","1","0","A",""
"030301500","03","03","015","00","P","K","1","0","1","C","150.0"
"031404101","03","14","041","01","P","R","1","1","0","C",""
"032203502","03","22","035","02","P","R","1","1","0","B",""
"032306700","03","23","067","00","P","K","1","1","0","B",""
"032107300","03","21","073","00","P","K","1","1","0","B",""
"031906205","03","19","062","05","P","R","1","0","1","C",""
"032405701","03","24","057","01","P","R","1","1","0","A",""
"031304300","03","13","043","00","P","DK","1","1","0","C",""
"030602401","03","06","024","01","P","DK","1","0","1","B",""
"031102704","03","11","027","04","P","R","1","0","1","B",""
"031101403","03","11","014","03","P","R","1","0","1","C",""
"031806000","03","18","060","00","P","DK","1","1","0","C",""
"032605103","03","26","051","03","P","R","1","1","0","A",""
"032504200","03","25","042","00","P","K","1","1","0","A",""
"032505900","03","25","059","00","P","K","1","1","0","A",""
"032703900","03","27","039","00","P","K","1","1","0","A",""
"030100402","03","01","004","02","P","R","1","0","1","C","150.0"
"030102301","03","01","023","01","P","R","1","0","1","C","150.0"
"030700606","03","07","006","06","P","R","1","0","1","C",""
"030701906","03","07","019","06","P","R","1","0","1","C",""
"030203000","03","02","030","00","P","K","1","0","1","C","150.0"
"030606000","03","06","060","00","P","DK","1","1","0","B",""
"030402701","03","04","027","01","P","K","1","0","1","C","150.0"
"031904100","03","19","041","00","P","K","1","1","0","C",""
"034101501","03","41","015","01","P","R","1","0","1","B","150.0"
"031903105","03","19","031","05","P","R","1","1","0","C",""
"032106000","03","21","060","00","P","K","1","1","0","B",""
"031903305","03","19","033","05","P","R","1","0","1","C",""
"030102200","03","01","022","00","P","K","1","0","1","C","150.0"
"030302600","03","03","026","00","P","K","1","2","0","C","150.0"
"031606102","03","16","061","02","P","R","1","1","0","C",""
